mid,name,rank,birthd0y,sign,level,vipType,vipStatus,following,fans
451618978,'bili_58284996865',5000,0,0,0,0,0,1,0
451618979,'喜欢番茄不爱皮',10000,0,0,1,0,0,82,0
451618986,'bili_34969872264',5000,0,0,0,0,0,29,0
451619010,'澤蘤121',10000,0,0,0,0,0,6,0
451619015,'bili_45634602102',5000,0,0,0,0,0,1,0
451619019,'bili_56060164519',10000,0,0,0,0,0,0,0
451619020,'bili_79195589169',10000,0,0,0,1,0,0,0
451619044,'啦啦小队长就你啦',10000,0,0,0,1,0,9,0
451619047,'顾-迟',5000,0,0,0,0,0,5,0
451619049,'bili_26484008316',10000,0,0,0,0,0,0,0
451619055,'ForsakeinBlazzzy',10000,0,0,1,2,1,127,25
451619070,'bili_64937047168',10000,0,0,0,0,0,2,0
451619076,'1000一仟',10000,0,0,0,0,0,9,0
451619077,'-kyle-a',10000,0,0,0,0,0,5,0
451619085,'城之雯',10000,0,0,0,1,0,2,0
451619086,'bili_50793753738',5000,0,0,0,0,0,7,0
451619089,'bili_31175583332',5000,0,0,0,1,0,28,0
451619091,'皮蛋solo粥11',10000,1,0,1,2,1,164,2
451619098,'bili_53281759609',10000,0,0,0,0,0,0,0
451619102,'是泊言i',10000,0,0,0,0,0,8,0
451619106,'上海唯一深情',10000,1,0,0,2,1,5,0
451619116,'bili_96198616891',5000,0,0,0,0,0,2,0
451619117,'bili_48365849421',10000,0,0,1,0,0,58,0
451619120,'bili20445204690',10000,0,0,0,0,0,1,0
451619138,'bili_31668475657',5000,0,0,0,0,0,12,0
451619139,'梧枝江泊',10000,1,1,1,1,0,45,3
451619143,'bili_77448182656',5000,0,0,0,0,0,1,0
451619170,'眠儿-',5000,0,0,0,1,0,2,0
451619173,'bili_79488013206',5000,0,0,0,0,0,8,0
451619187,'Ziyuu31',10000,0,0,0,0,0,2,0
451619193,'bili_10350706517',5000,0,0,0,0,0,2,0
451619201,'bili_10513183405',10000,0,0,0,0,0,0,0
451619206,'稻草人0607',10000,1,1,1,0,0,30,1
451619222,'fNJlTIl',10000,0,0,0,0,0,10,0
451619223,'你没有小裤衩',10000,0,0,1,0,0,45,0
451619228,'bili_32522556645',5000,0,0,0,0,0,1,0
451619231,'你猜我猜你不猜s',10000,0,0,1,1,0,55,0
451619250,'蹦咔咔哪',10000,0,0,0,1,0,4,0
451619263,'寞墨鱼',10000,1,0,1,1,1,30,0
451619265,'qiscdguht',10000,0,0,0,0,0,0,0
451619267,'不是我吧哎',10000,0,0,0,1,0,4,0
451619274,'bili_13502615484',10000,1,0,0,0,0,2,0
451619298,'bili_62340931636',10000,0,0,0,0,0,1,0
451619299,'bili_92203606256',5000,0,0,0,0,0,2,0
451619303,'王丶小丶飞',5000,0,0,0,0,0,5,0
451619311,'泽龙11',5000,0,0,0,1,0,3,0
451619328,'winjelsa',5000,0,0,0,0,0,58,1
451619330,'丁涟子',10000,1,0,1,1,0,613,0
451619345,'十八好饿',10000,0,0,0,0,0,1,0
451619346,'wxzsdl',5000,0,0,0,1,0,1,0
451619354,'bili_19676595122',5000,0,0,0,0,0,1,0
451619355,'bili_10244546575',10000,0,0,0,0,0,6,0
451619372,'喵的圆舞曲',10000,0,0,1,2,1,88,0
451619381,'bili_30380660870',5000,0,0,0,0,0,7,0
451619385,'扇凉御',10000,1,0,1,1,0,459,0
451619386,'重了个启',10000,0,0,0,0,0,27,15
451619388,'旺仔QQ2',10000,1,0,1,1,1,401,0
451619389,'bili_51208265534',5000,0,0,0,0,0,1,0
451619401,'亿亿亿一点',10000,0,0,1,1,0,45,0
451619403,'丁屁屁-',10000,0,1,0,0,0,15,0
451619407,'小括弧是我迷弟',10000,1,1,1,1,0,111,1
451619416,'_gkkkllj',10000,0,0,0,1,0,12,0
451619429,'QiuqiuqiuRC',5000,0,0,0,0,0,1,0
451619433,'诶嘿诶嘿嘿嘿嘿嘿嘿呀',10000,1,0,1,1,0,39,9
451619438,'朋朋子_',10000,0,0,1,1,0,425,0
451619449,'bili_19908788185',10000,0,0,0,0,0,0,0
451619458,'bili_67817108806',10000,0,1,1,0,0,134,0
451619461,'bili_52747241366',5000,0,0,0,0,0,4,0
451619482,'bili_58070463314',5000,0,0,0,0,0,10,0
451619488,'优起点',10000,0,1,1,0,0,38,124
451619503,'bili_22097667574',10000,0,0,1,1,0,77,0
451619509,'bili_88056854423',5000,0,0,0,0,0,1,0
451619514,'銘煒666',5000,0,0,0,0,0,2,0
451619522,'百变谢广坤',10000,0,1,0,0,0,21,1
451619524,'修勾修狗',10000,0,0,0,0,0,2,0
451619529,'袖里藏诗',10000,0,0,1,1,0,85,0
451619533,'BILI-UDUWEN',10000,0,1,1,1,0,205,7
451619540,'嚼螃蟹的大洋游侠',10000,0,0,1,1,0,312,1
451619559,'小毛的饲养员',5000,0,0,0,0,0,2,0
451619562,'HaKu的忧郁',10000,1,1,1,1,1,158,17
451619565,'洋洋洁狸',10000,0,0,0,1,0,10,3
451619576,'bili_92957006835',5000,0,0,0,0,0,4,0
451619578,'秋殇儿-',10000,0,1,1,1,0,42,1
451619586,'一只羊爱美食',10000,0,0,1,1,0,69,3
451619590,'云谷儿',10000,1,0,0,0,0,10,2
451619592,'小赞1005_',10000,0,0,0,0,0,5,1
451619594,'木呆阿九',5000,0,0,0,1,0,1,0
451619604,'bili_95334486854',5000,0,0,0,1,0,10,0
451619607,'kahl-175',10000,0,0,1,0,0,30,0
451619609,'bili_79148132730',10000,0,0,0,0,0,13,0
451619613,'不做绅士做骑士',10000,0,0,1,1,1,11,0
451619619,'bili_55597069287',5000,1,0,0,0,0,38,0
451619622,'bili_58509325856',5000,0,0,0,1,0,1,0
451619626,'爱老虎油__',5000,0,0,0,0,0,1,0
451619634,'bili_76978003742',10000,0,0,0,0,0,0,0
451619681,'陳陌呀',10000,0,0,0,0,0,0,0
451619685,'奋斗路上的Yunnie',10000,0,1,1,0,0,104,0
451619688,'bili_49131415611',5000,0,0,0,0,0,1,0
451619691,'bili_80682836998',5000,0,0,0,1,0,2,0
451619695,'星星冊',10000,0,0,0,0,0,5,0
451619711,'bili_山野万里',5000,0,0,0,0,0,3,0
451619732,'bili_48303867613',10000,0,0,0,0,0,0,0
451619755,'z自闭了',10000,0,1,0,0,0,9,1
451619764,'bili_52427536782',10000,0,0,0,0,0,8,0
451619769,'???浩然',10000,0,0,1,0,0,2,0
451619774,'bili_16741051629',10000,0,0,0,0,0,0,0
451619816,'意不明',10000,0,1,1,1,0,5,10
451619826,'bili_12678893795',5000,0,0,0,0,0,1,0
451619832,'bili_82181943276',10000,0,0,1,1,0,2,0
451619859,'bili_95383043826',5000,0,0,0,0,0,3,0
451619866,'bili_60250492392',10000,0,0,0,0,0,1,0
451619867,'錵開人落幕',10000,0,0,0,0,0,8,0
451619868,'水冰月冲冲冲',10000,0,0,0,0,0,2,1
451619869,'bili_71663865213',5000,0,0,0,0,0,1,0
631612236,'笑笑陈0',10000,0,0,0,1,0,2,0
631612237,'dzyckay',10000,1,0,0,0,0,36,0
631612238,'yifang253',10000,1,1,1,2,1,26,7
631612248,'木頭枝丫子',10000,1,1,1,1,0,16,106
631612251,'1000斤的大芋头',10000,0,0,1,0,0,186,0
631612256,'bili_72072676271',5000,0,0,0,0,0,1,0
631612261,'对方正在沙雕中',5000,0,0,0,0,0,4,0
631612264,'bili_35089843316',5000,0,0,0,0,0,2,0
631612266,'bili_74466010756',5000,0,0,0,0,0,1,0
631612272,'xch2887',10000,0,0,0,0,0,0,0
631612273,'浊酒955',10000,0,0,0,0,0,0,0
631612274,'bili_54302809744',5000,0,0,0,1,0,2,0
631612279,'bili_86243491601',5000,0,0,0,0,0,1,0
631612281,'笃定平和',10000,0,0,1,0,0,17,0
631612282,'叶丽轩',10000,0,0,0,0,0,0,0
631612289,'bili_98364836105',5000,0,0,0,0,0,6,0
631612298,'sunnyshuxiu',10000,0,0,1,0,0,8,1
631612300,'bili_48310718861',5000,0,0,0,0,0,14,0
631612303,'伊爱854954',10000,0,0,0,0,0,1,0
631612307,'来杯多肉',5000,0,0,0,0,0,29,0
631612313,'炀岁无殇',10000,1,1,1,1,0,160,2
631612314,'bili_97494734063',5000,0,0,0,0,0,2,0
631612322,'耳火小可爱吖-',10000,1,0,1,1,0,30,4
631612323,'bili_24085281443',5000,0,0,0,0,0,3,0
631612325,'温暖熊抱',10000,0,0,0,0,0,9,0
631612328,'世坤',10000,0,0,0,0,0,18,1
631612334,'美澌佳法式芳疗手作',10000,0,1,0,1,0,48,119
631612340,'bili_47513308023',5000,0,0,0,0,0,3,0
631612344,'bili_68452458953',5000,0,0,0,0,0,1,0
631612345,'bili_22363180562',5000,0,0,0,1,0,1,0
631612347,'你昂哥的操作',10000,0,0,0,1,0,15,0
631612349,'bili_38844638779',5000,0,0,0,0,0,1,0
631612357,'bili_52911432125',10000,0,0,0,0,0,1,0
631612362,'但愿人长久的小菠菠',10000,0,0,1,0,0,51,0
631612365,'不爱我的是傻瓜',10000,1,0,0,0,0,5,0
